2025-04-03 18:40:14.377 [restartedMain] INFO  com.wgcloud.WgcloudServiceApplication - Starting WgcloudServiceApplication using Java 19.0.2 on LAPTOP-1HFCDDG0 with PID 7408 (D:\Program\easyjava\wgcloud-3.5.7\wgcloud-server\target\classes started by Ho1L0w_By in D:\Program\easyjava\wgcloud-3.5.7)
2025-04-03 18:40:48.292 [http-nio-9999-exec-1] WARN  org.apache.catalina.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [122] milliseconds.
2025-04-03 18:40:52.564 [taskScheduler-2] INFO  com.wgcloud.task.ScheduledTask - 批量提交监控数据任务开始----------2025-04-03 18:40:52
2025-04-03 18:40:52.571 [taskScheduler-2] INFO  com.wgcloud.task.ScheduledTask - 批量提交监控数据任务结束----------2025-04-03 18:40:52
2025-04-03 18:41:32.225 [taskScheduler-2] INFO  org.pcap4j.core.PcapDumper - Closed.
2025-04-03 18:41:32.227 [taskScheduler-2] INFO  org.pcap4j.core.PcapHandle - Closed.
2025-04-03 18:41:32.687 [http-nio-9999-exec-3] INFO  com.wgcloud.controller.AgentController - Pcap 文件上传成功: D:\Program\easyjava\wgcloud-3.5.7\upload\pcap\1743676892674_capture_20250403184131.pcap
2025-04-03 18:41:48.954 [http-nio-9999-exec-3] INFO  org.pcap4j.core.NativeMappings - Pcap4J successfully loaded a native pcap library: Npcap version 1.55, based on libpcap version 1.10.2-PRE-GIT
2025-04-03 18:41:48.977 [http-nio-9999-exec-3] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.dlt.raw, use default value: 12
2025-04-03 18:41:51.027 [http-nio-9999-exec-3] INFO  org.pcap4j.packet.factory.PacketFactories - A PacketFactoryBinderProvider implementation is found. ClassLoader: jdk.internal.loader.ClassLoaders$AppClassLoader@78308db1, URL: file:/D:/apache-maven-3.8.6-bin/apache-maven-3.8.6/repo/org/pcap4j/pcap4j-packetfactory-static/1.8.2/pcap4j-packetfactory-static-1.8.2.jar
2025-04-03 18:41:51.202 [http-nio-9999-exec-3] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.inet, use default value: 2
2025-04-03 18:41:51.203 [http-nio-9999-exec-3] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.inet6, use default value: 23
2025-04-03 18:41:51.204 [http-nio-9999-exec-3] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.packet, use default value: 17
2025-04-03 18:41:51.205 [http-nio-9999-exec-3] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.link, use default value: 18
2025-04-03 18:41:51.387 [http-nio-9999-exec-3] INFO  org.pcap4j.packet.factory.PacketFactories - Succeeded in PacketFactoryBinderProvider.getBinder()
2025-04-03 18:41:56.300 [taskScheduler-5] INFO  com.wgcloud.task.ScheduledTask - heathMonitorTask------------2025-04-03 18:41:56
2025-04-03 18:41:56.300 [taskScheduler-4] INFO  com.wgcloud.task.ScheduledTask - 批量提交监控数据任务开始----------2025-04-03 18:41:56
2025-04-03 18:41:56.301 [http-nio-9999-exec-3] INFO  org.pcap4j.core.PcapHandle - Closed.
2025-04-03 18:41:56.301 [taskScheduler-4] INFO  com.wgcloud.task.ScheduledTask - 批量提交监控数据任务结束----------2025-04-03 18:41:56
2025-04-03 18:42:56.220 [taskScheduler-1] INFO  com.wgcloud.task.ScheduledTask - 批量提交监控数据任务开始----------2025-04-03 18:42:56
2025-04-03 18:42:56.221 [taskScheduler-1] INFO  com.wgcloud.task.ScheduledTask - 批量提交监控数据任务结束----------2025-04-03 18:42:56
2025-04-03 18:43:12.219 [http-nio-9999-exec-3] INFO  com.wgcloud.analysis.AlarmInfoService - 成功保存报警信息: AlarmInfo{id='beda701d835d4fd1a913889d46f4beac', alarmType='DDos攻击', ipAddress='10.0.0.44', ipLocation='-s', requestContentLength=428, createTime=2025-04-03 18:43:09.314, isBlacklist=0}
2025-04-03 18:43:12.221 [http-nio-9999-exec-3] INFO  org.pcap4j.core.PcapHandle - Closed.
2025-04-03 18:43:12.225 [http-nio-9999-exec-3] INFO  org.pcap4j.core.PcapHandle - Closed.
2025-04-03 18:43:12.227 [http-nio-9999-exec-3] INFO  org.pcap4j.core.PcapHandle - Closed.
2025-04-03 18:43:30.493 [taskScheduler-3] INFO  org.pcap4j.core.PcapDumper - Closed.
2025-04-03 18:43:30.494 [taskScheduler-3] INFO  org.pcap4j.core.PcapHandle - Closed.
2025-04-03 18:43:31.139 [http-nio-9999-exec-6] INFO  com.wgcloud.controller.AgentController - Pcap 文件上传成功: D:\Program\easyjava\wgcloud-3.5.7\upload\pcap\1743677011121_capture_20250403184329.pcap
2025-04-03 18:44:39.556 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m13s321ms831µs900ns).
2025-04-03 18:44:39.556 [taskScheduler-2] INFO  com.wgcloud.task.ScheduledTask - 批量提交监控数据任务开始----------2025-04-03 18:44:39
2025-04-03 18:44:39.559 [http-nio-9999-exec-6] INFO  org.pcap4j.core.PcapHandle - Closed.
2025-04-03 18:44:39.654 [taskScheduler-2] INFO  com.wgcloud.task.ScheduledTask - 批量提交监控数据任务结束----------2025-04-03 18:44:39
2025-04-03 18:46:23.833 [restartedMain] INFO  com.wgcloud.WgcloudServiceApplication - Starting WgcloudServiceApplication using Java 19.0.2 on LAPTOP-1HFCDDG0 with PID 13176 (D:\Program\easyjava\wgcloud-3.5.7\wgcloud-server\target\classes started by Ho1L0w_By in D:\Program\easyjava\wgcloud-3.5.7)
2025-04-03 18:46:23.834 [restartedMain] INFO  com.wgcloud.WgcloudServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-04-03 18:46:23.908 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in D:\apache-maven-3.8.6-bin\apache-maven-3.8.6\repo\com\oracle\ojdbc6\11.2.0.3\ojdbc6-11.2.0.3.jar referenced one or more files that do not exist: file:/D:/apache-maven-3.8.6-bin/apache-maven-3.8.6/repo/com/oracle/ojdbc6/11.2.0.3/oraclepki.jar
2025-04-03 18:46:23.909 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-04-03 18:46:23.909 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-04-03 18:46:25.499 [restartedMain] INFO  com.wgcloud.WgcloudServiceApplication - Starting WgcloudServiceApplication using Java 19.0.2 on LAPTOP-1HFCDDG0 with PID 23424 (D:\Program\easyjava\wgcloud-3.5.7\wgcloud-agent\target\classes started by Ho1L0w_By in D:\Program\easyjava\wgcloud-3.5.7)
2025-04-03 18:46:25.501 [restartedMain] INFO  com.wgcloud.WgcloudServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-04-03 18:46:25.582 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-04-03 18:46:25.582 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-04-03 18:46:25.644 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
2025-04-03 18:46:25.646 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.16] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2025-04-03 18:46:25.647 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2025-04-03 18:46:25.647 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2025-04-03 18:46:25.647 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-04-03 18:46:26.728 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2025-04-03 18:46:26.739 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-04-03 18:46:26.740 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2025-04-03 18:46:26.858 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wgcloud] - Initializing Spring embedded WebApplicationContext
2025-04-03 18:46:26.858 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2949 ms
2025-04-03 18:46:26.947 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9998 (http)
2025-04-03 18:46:26.949 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.16] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2025-04-03 18:46:26.949 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2025-04-03 18:46:26.949 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2025-04-03 18:46:26.949 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-04-03 18:46:27.908 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2025-04-03 18:46:28.016 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2025-04-03 18:46:28.028 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-04-03 18:46:28.028 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2025-04-03 18:46:28.143 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wgcloud-agent] - Initializing Spring embedded WebApplicationContext
2025-04-03 18:46:28.143 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2560 ms
2025-04-03 18:46:28.296 [restartedMain] INFO  org.pcap4j.core.NativeMappings - Pcap4J successfully loaded a native pcap library: Npcap version 1.55, based on libpcap version 1.10.2-PRE-GIT
2025-04-03 18:46:28.454 [restartedMain] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.inet, use default value: 2
2025-04-03 18:46:28.454 [restartedMain] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.inet6, use default value: 23
2025-04-03 18:46:28.454 [restartedMain] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.packet, use default value: 17
2025-04-03 18:46:28.455 [restartedMain] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.link, use default value: 18
2025-04-03 18:46:28.468 [restartedMain] ERROR org.pcap4j.core.PcapNetworkInterface - Failed to retrieve the link layer address of the NIF: \Device\NPF_Loopback
2025-04-03 18:46:28.472 [restartedMain] INFO  org.pcap4j.core.Pcaps - 14 NIF(s) found.
2025-04-03 18:46:28.480 [pool-1-thread-1] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.dlt.raw, use default value: 12
2025-04-03 18:46:28.482 [pool-1-thread-1] INFO  org.pcap4j.core.PcapHandle - Starting loop.
2025-04-03 18:46:29.026 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-04-03 18:46:29.086 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path '/wgcloud'
2025-04-03 18:46:29.105 [restartedMain] INFO  com.wgcloud.WgcloudServiceApplication - Started WgcloudServiceApplication in 5.841 seconds (JVM running for 6.756)
2025-04-03 18:46:29.120 [restartedMain] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2025-04-03 18:46:29.162 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9998 (http) with context path '/wgcloud-agent'
2025-04-03 18:46:29.179 [restartedMain] INFO  com.wgcloud.WgcloudServiceApplication - Started WgcloudServiceApplication in 4.333 seconds (JVM running for 5.0)
2025-04-03 18:46:29.365 [pool-1-thread-1] INFO  org.pcap4j.packet.factory.PacketFactories - A PacketFactoryBinderProvider implementation is found. ClassLoader: jdk.internal.loader.ClassLoaders$AppClassLoader@78308db1, URL: file:/D:/apache-maven-3.8.6-bin/apache-maven-3.8.6/repo/org/pcap4j/pcap4j-packetfactory-static/1.8.2/pcap4j-packetfactory-static-1.8.2.jar
2025-04-03 18:46:29.423 [pool-1-thread-1] INFO  org.pcap4j.packet.factory.PacketFactories - Succeeded in PacketFactoryBinderProvider.getBinder()
2025-04-03 18:46:49.138 [taskScheduler-1] WARN  com.zaxxer.hikari.HikariConfig - HikariPool-1 - idleTimeout has been set but has no effect because the pool is operating as a fixed size pool.
2025-04-03 18:46:49.139 [taskScheduler-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-04-03 18:46:49.230 [taskScheduler-1] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2025-04-03 18:46:49.381 [taskScheduler-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-04-03 18:46:57.333 [http-nio-9999-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wgcloud] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-04-03 18:46:57.333 [http-nio-9999-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-04-03 18:46:57.335 [http-nio-9999-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-04-03 18:46:59.113 [taskScheduler-2] INFO  com.wgcloud.task.ScheduledTask - 批量提交监控数据任务开始----------2025-04-03 18:46:59
2025-04-03 18:46:59.115 [taskScheduler-2] INFO  com.wgcloud.task.ScheduledTask - 批量提交监控数据任务结束----------2025-04-03 18:46:59
2025-04-03 18:47:40.795 [taskScheduler-2] INFO  org.pcap4j.core.PcapDumper - Closed.
2025-04-03 18:47:40.796 [taskScheduler-2] INFO  org.pcap4j.core.PcapHandle - Closed.
2025-04-03 18:47:41.022 [http-nio-9999-exec-2] INFO  com.wgcloud.controller.AgentController - Pcap 文件上传成功: D:\Program\easyjava\wgcloud-3.5.7\upload\pcap\1743677261013_capture_20250403184740.pcap
2025-04-03 18:47:41.955 [http-nio-9999-exec-2] INFO  org.pcap4j.core.NativeMappings - Pcap4J successfully loaded a native pcap library: Npcap version 1.55, based on libpcap version 1.10.2-PRE-GIT
2025-04-03 18:47:41.963 [http-nio-9999-exec-2] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.dlt.raw, use default value: 12
2025-04-03 18:47:41.970 [http-nio-9999-exec-2] INFO  org.pcap4j.packet.factory.PacketFactories - A PacketFactoryBinderProvider implementation is found. ClassLoader: jdk.internal.loader.ClassLoaders$AppClassLoader@78308db1, URL: file:/D:/apache-maven-3.8.6-bin/apache-maven-3.8.6/repo/org/pcap4j/pcap4j-packetfactory-static/1.8.2/pcap4j-packetfactory-static-1.8.2.jar
2025-04-03 18:47:42.115 [http-nio-9999-exec-2] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.inet, use default value: 2
2025-04-03 18:47:42.117 [http-nio-9999-exec-2] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.inet6, use default value: 23
2025-04-03 18:47:42.117 [http-nio-9999-exec-2] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.packet, use default value: 17
2025-04-03 18:47:42.117 [http-nio-9999-exec-2] INFO  org.pcap4j.util.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.link, use default value: 18
2025-04-03 18:47:42.245 [http-nio-9999-exec-2] INFO  org.pcap4j.packet.factory.PacketFactories - Succeeded in PacketFactoryBinderProvider.getBinder()
2025-04-03 18:47:42.312 [http-nio-9999-exec-2] INFO  org.pcap4j.core.PcapHandle - Closed.
2025-04-03 18:47:45.241 [http-nio-9999-exec-2] INFO  com.wgcloud.analysis.AlarmInfoService - 成功保存报警信息: AlarmInfo{id='ccae7fcb0e2044a3afbbf3990333d4ca', alarmType='文件上传攻击', ipAddress='14.0.9.145', ipLocation='日本-Chiyoda', requestContentLength=560, createTime=2025-04-03 18:47:42.313, isBlacklist=0}
2025-04-03 18:47:45.719 [http-nio-9999-exec-2] INFO  com.wgcloud.analysis.AlarmInfoService - 成功保存报警信息: AlarmInfo{id='504e89a4ae904c519ec53609c3cf6576', alarmType='文件上传攻击', ipAddress='14.226.113.93', ipLocation='越南-岘港', requestContentLength=416, createTime=2025-04-03 18:47:45.243, isBlacklist=0}
2025-04-03 18:47:46.230 [http-nio-9999-exec-2] INFO  com.wgcloud.analysis.AlarmInfoService - 成功保存报警信息: AlarmInfo{id='e28a10ceedfa4fb1acacca286ae400c2', alarmType='文件上传攻击', ipAddress='1.1.0.75', ipLocation='中国-Wenquan', requestContentLength=428, createTime=2025-04-03 18:47:45.719, isBlacklist=0}
2025-04-03 18:47:46.238 [http-nio-9999-exec-2] INFO  org.pcap4j.core.PcapHandle - Closed.
